timestamp,heart_rate_bpm,steps,calories,spo2_percent,stress_level,sleep_stage
2025-09-14 00:00:00,56,0,0.56,96.1,31,Light
2025-09-14 00:01:00,55,0,0.55,96.2,30,Light
2025-09-14 00:02:00,56,0,0.56,96.5,30,Light
2025-09-14 00:03:00,57,0,0.57,97.0,30,Light
2025-09-14 00:04:00,56,0,0.56,96.6,29,Light
2025-09-14 00:05:00,56,0,0.56,97.4,29,Light
2025-09-14 00:06:00,57,0,0.57,97.6,29,Light
2025-09-14 00:07:00,57,0,0.57,97.4,29,Light
2025-09-14 00:08:00,56,0,0.56,98.0,29,Light
2025-09-14 00:09:00,56,0,0.56,97.2,28,Light
2025-09-14 00:10:00,56,0,0.56,96.3,28,Light
2025-09-14 00:11:00,55,0,0.55,97.8,28,Light
2025-09-14 00:12:00,55,0,0.55,96.6,28,Light
2025-09-14 00:13:00,54,0,0.54,97.5,27,Light
2025-09-14 00:14:00,53,0,0.53,97.9,27,Light
2025-09-14 00:15:00,53,0,0.53,97.3,28,Light
2025-09-14 00:16:00,53,0,0.53,96.1,28,Light
2025-09-14 00:17:00,54,0,0.54,96.4,28,Light
2025-09-14 00:18:00,54,0,0.54,97.8,28,Light
2025-09-14 00:19:00,53,0,0.53,96.9,28,Light
2025-09-14 00:20:00,56,0,0.56,97.0,28,Light
2025-09-14 00:21:00,56,0,0.56,97.5,28,Light
2025-09-14 00:22:00,56,0,0.56,97.4,27,Light
2025-09-14 00:23:00,55,0,0.55,97.2,27,Light
2025-09-14 00:24:00,55,0,0.55,96.9,27,Light
2025-09-14 00:25:00,55,0,0.55,96.8,27,Light
2025-09-14 00:26:00,55,0,0.55,97.5,27,Light
2025-09-14 00:27:00,56,0,0.56,97.3,26,Light
2025-09-14 00:28:00,56,0,0.56,96.8,26,Light
2025-09-14 00:29:00,56,0,0.56,97.6,26,Light
2025-09-14 00:30:00,56,0,0.56,96.9,26,Light
2025-09-14 00:31:00,58,0,0.58,96.5,26,Light
2025-09-14 00:32:00,57,0,0.57,96.5,25,Light
2025-09-14 00:33:00,56,0,0.56,96.4,25,Light
2025-09-14 00:34:00,57,0,0.57,96.8,25,Light
2025-09-14 00:35:00,56,0,0.56,97.7,25,Light
2025-09-14 00:36:00,57,0,0.57,96.5,26,Light
2025-09-14 00:37:00,55,0,0.55,97.1,26,Light
2025-09-14 00:38:00,55,0,0.55,96.6,27,Light
2025-09-14 00:39:00,56,0,0.56,96.8,27,Light
2025-09-14 00:40:00,57,0,0.57,96.1,27,Deep
2025-09-14 00:41:00,57,0,0.57,96.9,28,Deep
2025-09-14 00:42:00,57,0,0.57,96.9,28,Deep
2025-09-14 00:43:00,57,0,0.57,97.3,28,Deep
2025-09-14 00:44:00,56,0,0.56,97.1,29,Deep
2025-09-14 00:45:00,56,0,0.56,96.3,29,Deep
2025-09-14 00:46:00,56,0,0.56,97.7,30,Deep
2025-09-14 00:47:00,58,0,0.58,97.1,30,Deep
2025-09-14 00:48:00,58,0,0.58,97.1,31,Deep
2025-09-14 00:49:00,57,0,0.57,97.0,31,Deep
2025-09-14 00:50:00,57,0,0.57,96.7,31,Deep
2025-09-14 00:51:00,57,0,0.57,97.1,31,Deep
2025-09-14 00:52:00,57,0,0.57,97.3,31,Deep
2025-09-14 00:53:00,58,0,0.58,96.0,31,Deep
2025-09-14 00:54:00,59,0,0.59,96.7,31,Deep
2025-09-14 00:55:00,60,0,0.6,96.8,31,Deep
2025-09-14 00:56:00,59,0,0.59,97.2,31,Deep
2025-09-14 00:57:00,58,0,0.58,97.7,31,Deep
2025-09-14 00:58:00,59,0,0.59,96.5,31,Deep
2025-09-14 00:59:00,60,0,0.6,96.7,32,Deep
2025-09-14 01:00:00,59,0,0.59,96.7,31,REM
2025-09-14 01:01:00,59,0,0.59,96.5,31,REM
2025-09-14 01:02:00,58,0,0.58,96.8,31,REM
2025-09-14 01:03:00,57,0,0.57,97.5,32,REM
2025-09-14 01:04:00,58,0,0.58,96.4,32,REM
2025-09-14 01:05:00,60,0,0.6,97.3,32,REM
2025-09-14 01:06:00,60,0,0.6,96.0,32,REM
2025-09-14 01:07:00,60,0,0.6,96.7,32,REM
2025-09-14 01:08:00,60,0,0.6,96.8,32,REM
2025-09-14 01:09:00,59,0,0.59,98.0,32,REM
2025-09-14 01:10:00,60,0,0.6,96.8,33,REM
2025-09-14 01:11:00,61,0,0.61,95.7,33,REM
2025-09-14 01:12:00,60,0,0.6,95.8,33,REM
2025-09-14 01:13:00,61,0,0.61,97.0,33,REM
2025-09-14 01:14:00,58,0,0.58,97.4,33,REM
2025-09-14 01:15:00,59,0,0.59,97.2,33,Light
2025-09-14 01:16:00,60,0,0.6,97.1,33,Light
2025-09-14 01:17:00,59,0,0.59,97.7,34,Light
2025-09-14 01:18:00,59,0,0.59,96.7,34,Light
2025-09-14 01:19:00,58,0,0.58,97.5,34,Light
2025-09-14 01:20:00,58,0,0.58,96.0,34,Light
2025-09-14 01:21:00,59,0,0.59,96.5,34,Light
2025-09-14 01:22:00,60,0,0.6,95.9,34,Light
2025-09-14 01:23:00,60,0,0.6,96.8,34,Light
2025-09-14 01:24:00,59,0,0.59,97.0,34,Light
2025-09-14 01:25:00,59,0,0.59,97.1,34,Light
2025-09-14 01:26:00,60,0,0.6,97.0,34,Light
2025-09-14 01:27:00,60,0,0.6,96.4,34,Light
2025-09-14 01:28:00,59,0,0.59,96.9,33,Light
2025-09-14 01:29:00,60,0,0.6,96.1,33,Light
